query,topIntent,conversationName,answer,enabled
seen better days,GreetingQuestionsAnswersNeutral,GreetingQuestionsAnswersNeutral,,true
could be better,GreetingQuestionsAnswersNeutral,GreetingQuestionsAnswersNeutral,,true
"so so, could be better",GreetingQuestionsAnswersNeutral,GreetingQuestionsAnswersNeutral,,true
dont know,GreetingQuestionsAnswersNeutral,GreetingQuestionsAnswersNeutral,,true
what voice assistance do you support,AskVoiceChannelSupport,AskVoiceChannelSupport,,true
what is your voice support,AskVoiceChannelSupport,AskVoiceChannelSupport,,true
any voice assistants support,AskVoiceChannelSupport,AskVoiceChannelSupport,,true
do you have any voice,AskVoiceChannelSupport,AskVoiceChannelSupport,,true
do you support voice activated assistants,AskVoiceChannelSupport,AskVoiceChannelSupport,,true
what is your voice assistance support,AskVoiceChannelSupport,AskVoiceChannelSupport,,true
any voice support,AskVoiceChannelSupport,AskVoiceChannelSupport,,true
your my best friend,Friends,Friends,,true
you're my mate,Friends,Friends,,true
your my friend,Friends,Friends,,true
I want to be your mate,Friends,Friends,,true
your my buddy,Friends,Friends,,true
can we be friends,Friends,Friends,,true
will you be my friend,Friends,Friends,,true
can I be your friend,Friends,Friends,,true
you're my buddy,Friends,Friends,,true
can we be best mates,Friends,Friends,,true
your my mate,Friends,Friends,,true
your my best mate,Friends,Friends,,true
can we still be friends,Friends,Friends,,true
can we be mates,Friends,Friends,,true
can we still be mates,Friends,Friends,,true
you're my friend,Friends,Friends,,true
can we still be buddies,Friends,Friends,,true
can we be best buddies,Friends,Friends,,true
can we be best mates forever,Friends,Friends,,true
can we be best buddies forever,Friends,Friends,,true
youre my best buddy,Friends,Friends,,true
your my best buddy,Friends,Friends,,true
can I be your buddy,Friends,Friends,,true
you're my best mate,Friends,Friends,,true
you're my best friend,Friends,Friends,,true
I want to be your buddy,Friends,Friends,,true
long time no see,Greeting,Greeting,,true
yo bot,Greeting,Greeting,,true
good day mate,Greeting,Greeting,,true
g day mate,Greeting,Greeting,,true
hello,Greeting,Greeting,,true
hey,Greeting,Greeting,,true
hi,Greeting,Greeting,,true
g day,Greeting,Greeting,,true
good day,Greeting,Greeting,,true
hmm,Greeting,Greeting,,true
yo,Greeting,Greeting,,true
hiya,Greeting,Greeting,,true
its been a while,Greeting,Greeting,,true
howdy,Greeting,Greeting,,true
can you tell me where you come from,AskLocation,AskLocation,,true
where you come from,AskLocation,AskLocation,,true
current location,AskLocation,AskLocation,,true
where do you live,AskLocation,AskLocation,,true
where are you based,AskLocation,AskLocation,,true
what is your location,AskLocation,AskLocation,,true
the answer to everything and universe,AskAboutUniversAnswer,AskAboutUniversAnswer,,true
do you know the answer of the universe,AskAboutUniversAnswer,AskAboutUniversAnswer,,true
what is the answer to the universe,AskAboutUniversAnswer,AskAboutUniversAnswer,,true
the answer of the universe,AskAboutUniversAnswer,AskAboutUniversAnswer,,true
what is the answer to universe and everything,AskAboutUniversAnswer,AskAboutUniversAnswer,,true
